links,title,subur_name,unit_mly_jan,unit_mly_feb,unit_mly_mar,unit_mly_apr,unit_mly_may,unit_mly_jun,unit_mly_jul,unit_mly_aug,unit_mly_sep,unit_mly_oct,unit_mly_nov,unit_mly_dec,unit_mly_p_jan,unit_mly_p_feb,unit_mly_p_mar,unit_mly_p_apr,unit_mly_p_may,unit_mly_p_jun,unit_mly_p_jul,unit_mly_p_aug,unit_mly_p_sep,unit_mly_p_oct,unit_mly_p_nov,unit_mly_p_dec,unit_mly_nos_jan,unit_mly_nos_feb,unit_mly_nos_mar,unit_mly_nos_apr,unit_mly_nos_may,unit_mly_nos_jun,unit_mly_nos_jul,unit_mly_nos_aug,unit_mly_nos_sep,unit_mly_nos_oct,unit_mly_nos_nov,unit_mly_nos_dec
https://www.realestate.com.au/neighbourhoods/Warwick-6024-wa,Warwick,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,287500,287500,290000,290000,287500,287500,287500,290000,290000,390000,390000,390000,2,2,3,3,4,4,4,3,3,3,3,3
https://www.realestate.com.au/neighbourhoods/Waterford-6152-wa,Waterford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Watermans%20Bay-6020-wa,Watermans Bay,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,700000,700000,762500,762500,750000,750000,750000,762500,696000,571000,571000,571000,8,8,8,8,7,7,7,6,6,4,4,4
https://www.realestate.com.au/neighbourhoods/Wattle%20Grove-6107-wa,Wattle Grove,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,,,,230000,230000,230000,230000,230000,230000,229500,229000,229000,,,,3,3,3,3,3,3,2,1,1,,,
https://www.realestate.com.au/neighbourhoods/Wattleup-6166-wa,Wattleup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Wedge%20Island-6044-wa,Wedge Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Wellard-6170-wa,Wellard,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,300000,300000,300000,300000,360000,360000,360000,360000,360000,360000,360000,360000,4,4,4,5,7,9,8,8,6,7,7,7
https://www.realestate.com.au/neighbourhoods/Wellesley-6233-wa,Wellesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Welshpool-6106-wa,Welshpool,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,342250,342250,342250,342250,342250,342250,360000,360000,360000,360000,360000,360000,2,4,4,4,4,4,3,3,3,3,3,3
https://www.realestate.com.au/neighbourhoods/Wembley%20Downs-6019-wa,Wembley Downs,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,755000,755000,730000,720000,657500,715000,600000,662500,662500,600000,590000,590000,13,13,12,12,10,11,11,10,10,9,7,7
https://www.realestate.com.au/neighbourhoods/Wembley-6014-wa,Wembley,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,395000,387000,383000,383000,395000,400000,392500,390000,365000,371000,379000,379000,79,81,86,90,87,83,84,78,75,72,66,66
https://www.realestate.com.au/neighbourhoods/West%20Coolup-6214-wa,West Coolup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/West%20Leederville-6007-wa,West Leederville,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,645000,647500,645000,647500,645000,632500,630000,625000,590000,570000,570000,570000,23,22,25,24,25,28,29,33,29,27,25,25
https://www.realestate.com.au/neighbourhoods/West%20Perth-6005-wa,West Perth,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,566500,549444,538000,530000,530000,534000,525000,520000,515000,515000,515000,515000,150,150,141,139,145,139,139,137,141,135,129,129
https://www.realestate.com.au/neighbourhoods/West%20Pinjarra-6208-wa,West Pinjarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/West%20Swan-6055-wa,West Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Westminster-6061-wa,Westminster,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,428000,428000,417500,425000,425000,393750,417500,377500,377500,365000,365000,365000,24,22,20,19,17,18,18,19,19,20,19,19
https://www.realestate.com.au/neighbourhoods/Whitby-6123-wa,Whitby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/White%20Gum%20Valley-6162-wa,White Gum Valley,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,442500,442500,420000,442500,465000,465000,690000,405000,405000,377500,377500,377500,6,6,5,4,3,3,2,3,5,4,4,4
https://www.realestate.com.au/neighbourhoods/Whiteman-6068-wa,Whiteman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.realestate.com.au/neighbourhoods/Whittaker-6207-wa,Whittaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
